,age,job,marital,education,default,housing,loan,duration,campaign,pdays,previous,poutcome,y
34,48,technician,married,university.degree,no,no,no,42,7,999,0,nonexistent,0
35,28,blue-collar,single,basic.9y,no,yes,no,525,1,999,0,nonexistent,0
36,36,blue-collar,married,basic.6y,no,yes,no,57,1,999,0,nonexistent,0
37,46,management,divorced,high.school,no,no,no,499,1,999,0,nonexistent,0
38,31,technician,single,unknown,no,yes,no,84,1,999,1,failure,0
39,20,student,single,unknown,no,no,no,137,3,999,3,failure,0
40,35,services,married,high.school,unknown,yes,no,31,1,999,0,nonexistent,0
41,38,blue-collar,married,basic.9y,unknown,unknown,unknown,430,1,999,0,nonexistent,0
42,76,retired,married,university.degree,no,no,no,126,1,999,1,failure,0
43,45,entrepreneur,divorced,professional.course,no,yes,no,211,3,999,0,nonexistent,0
44,32,housemaid,married,basic.4y,no,yes,yes,340,1,999,0,nonexistent,0
45,39,management,single,university.degree,unknown,no,no,412,2,999,0,nonexistent,0
46,32,admin.,married,university.degree,no,no,no,132,1,999,0,nonexistent,0
47,29,admin.,single,basic.9y,no,no,no,79,2,999,0,nonexistent,0
48,44,services,married,professional.course,no,no,no,341,2,999,0,nonexistent,0
49,32,services,married,high.school,no,no,yes,157,3,999,0,nonexistent,0
50,56,retired,married,university.degree,no,yes,no,252,1,999,2,failure,0
51,33,blue-collar,married,basic.9y,no,yes,no,263,1,999,0,nonexistent,0
52,39,management,married,high.school,no,no,no,215,3,999,0,nonexistent,0
53,24,technician,married,university.degree,no,yes,yes,89,2,3,1,success,1
54,33,admin.,single,university.degree,no,yes,no,143,1,999,0,nonexistent,0
55,58,entrepreneur,divorced,university.degree,no,no,no,40,2,999,0,nonexistent,0
56,29,admin.,single,university.degree,no,yes,no,10,27,999,0,nonexistent,0
57,31,admin.,married,university.degree,no,yes,no,113,1,999,0,nonexistent,0
58,27,admin.,married,university.degree,no,no,no,191,5,999,0,nonexistent,0
59,60,admin.,divorced,professional.course,no,yes,no,481,1,999,1,failure,1
60,55,entrepreneur,married,professional.course,no,yes,yes,233,1,999,2,failure,0
61,37,blue-collar,married,basic.9y,no,yes,no,204,2,999,0,nonexistent,0
62,52,admin.,married,unknown,no,yes,no,403,1,6,1,success,1
63,46,services,married,high.school,no,yes,no,180,1,999,0,nonexistent,0
64,42,blue-collar,divorced,basic.6y,no,yes,no,16,2,999,0,nonexistent,0
65,35,admin.,single,university.degree,no,yes,no,447,3,999,0,nonexistent,0
66,49,technician,divorced,unknown,no,yes,yes,81,1,999,0,nonexistent,0
67,29,services,divorced,high.school,no,no,yes,361,3,999,0,nonexistent,0
68,32,blue-collar,married,basic.9y,no,no,no,1091,2,5,1,success,1
69,37,self-employed,married,university.degree,no,no,no,395,1,999,1,failure,0
70,39,technician,single,professional.course,unknown,no,no,432,4,999,0,nonexistent,1
71,51,services,married,high.school,unknown,yes,no,596,3,999,0,nonexistent,1
72,28,admin.,single,high.school,no,yes,no,59,3,999,0,nonexistent,0
73,34,management,married,university.degree,no,yes,no,77,4,999,0,nonexistent,0
74,31,technician,single,high.school,no,yes,yes,768,1,999,0,nonexistent,1
75,31,admin.,married,university.degree,no,yes,no,96,5,999,0,nonexistent,0
76,31,admin.,single,university.degree,no,yes,no,357,2,999,0,nonexistent,0
77,38,self-employed,single,university.degree,no,no,no,459,2,999,0,nonexistent,0
78,33,unemployed,married,basic.9y,no,no,no,11,6,999,0,nonexistent,0
79,32,technician,single,university.degree,no,no,no,264,12,999,0,nonexistent,0
80,54,technician,married,professional.course,unknown,yes,no,698,1,999,0,nonexistent,0
81,41,admin.,divorced,high.school,no,yes,no,204,2,999,0,nonexistent,0
82,59,services,married,basic.4y,unknown,no,no,93,7,999,0,nonexistent,0
83,57,retired,married,university.degree,no,yes,no,374,1,2,1,success,0
84,38,entrepreneur,divorced,university.degree,no,yes,no,252,1,999,0,nonexistent,0
85,46,admin.,married,university.degree,no,yes,no,158,1,999,0,nonexistent,0
86,37,unemployed,single,university.degree,no,yes,yes,95,1,999,0,nonexistent,0
87,47,services,single,basic.9y,no,unknown,unknown,835,3,999,0,nonexistent,1
88,45,admin.,single,university.degree,no,no,no,505,1,999,0,nonexistent,1
89,36,blue-collar,married,basic.6y,no,yes,no,16,1,999,0,nonexistent,0
90,40,unemployed,single,high.school,no,yes,no,300,5,999,0,nonexistent,0
91,38,blue-collar,married,basic.9y,no,no,no,180,2,999,1,failure,0
92,44,blue-collar,married,high.school,unknown,no,no,390,2,999,0,nonexistent,0
93,25,self-employed,married,university.degree,no,yes,no,274,2,999,0,nonexistent,0
94,30,blue-collar,single,basic.6y,no,yes,no,135,5,999,0,nonexistent,0
95,43,management,married,professional.course,no,no,no,257,2,999,0,nonexistent,0
96,58,retired,married,basic.6y,unknown,no,no,268,3,999,0,nonexistent,0
97,31,technician,married,professional.course,no,yes,no,157,6,999,0,nonexistent,0
98,53,management,married,university.degree,no,no,no,477,2,999,0,nonexistent,0
99,52,admin.,married,unknown,no,no,no,91,1,999,0,nonexistent,0
100,37,management,married,university.degree,unknown,no,yes,76,1,999,1,failure,0
101,58,admin.,married,high.school,unknown,yes,no,103,1,999,0,nonexistent,0
102,37,services,married,high.school,no,yes,yes,436,3,999,0,nonexistent,0
103,38,admin.,single,unknown,no,yes,no,191,1,999,0,nonexistent,0
104,33,services,single,basic.9y,no,yes,no,483,2,999,0,nonexistent,0
105,45,services,married,high.school,unknown,yes,no,250,1,999,0,nonexistent,0
106,44,entrepreneur,married,professional.course,no,no,no,259,1,999,0,nonexistent,0
107,38,blue-collar,married,basic.6y,no,yes,no,389,2,999,0,nonexistent,0
108,34,blue-collar,married,basic.9y,no,no,no,7,1,999,0,nonexistent,0
109,47,management,married,university.degree,no,yes,no,123,1,999,0,nonexistent,0
110,59,admin.,married,university.degree,no,yes,yes,92,1,999,0,nonexistent,0
111,51,blue-collar,married,basic.4y,unknown,yes,yes,297,2,999,0,nonexistent,0
112,31,blue-collar,married,basic.6y,no,yes,no,406,2,999,0,nonexistent,0
113,56,management,married,university.degree,no,yes,yes,104,1,999,1,failure,0
114,39,admin.,married,university.degree,no,no,no,135,2,999,0,nonexistent,0
115,41,entrepreneur,married,university.degree,no,yes,no,854,1,999,0,nonexistent,1
116,41,management,divorced,basic.6y,no,yes,no,147,1,999,0,nonexistent,0
117,53,services,married,high.school,unknown,no,no,203,4,999,0,nonexistent,0
118,35,blue-collar,married,high.school,no,no,yes,149,4,999,0,nonexistent,0
119,58,retired,married,basic.9y,no,no,yes,144,1,999,0,nonexistent,0
120,25,self-employed,married,professional.course,no,yes,no,394,2,999,0,nonexistent,0
121,35,blue-collar,divorced,basic.9y,no,yes,no,523,1,999,1,failure,0
122,28,services,single,high.school,no,no,no,73,1,999,0,nonexistent,0
123,55,blue-collar,married,professional.course,no,yes,yes,197,3,999,1,failure,0
124,54,entrepreneur,married,basic.4y,unknown,no,yes,108,1,999,0,nonexistent,0
125,45,technician,divorced,basic.9y,unknown,no,no,80,2,999,0,nonexistent,0
126,32,blue-collar,married,basic.9y,no,yes,no,114,1,999,1,failure,0
127,50,admin.,married,basic.9y,unknown,yes,no,122,3,999,0,nonexistent,0
128,75,retired,married,basic.4y,no,no,no,109,1,999,1,failure,1
129,33,self-employed,divorced,unknown,no,no,no,1161,4,999,0,nonexistent,0
130,29,management,married,university.degree,no,no,yes,181,2,999,0,nonexistent,0
131,45,management,married,university.degree,no,yes,no,239,1,999,0,nonexistent,0
132,38,admin.,divorced,university.degree,no,no,no,360,1,999,0,nonexistent,1
133,24,services,single,professional.course,no,yes,no,314,1,999,0,nonexistent,0
134,41,technician,married,professional.course,no,yes,no,984,1,999,0,nonexistent,0
135,58,retired,divorced,high.school,no,yes,no,663,1,999,0,nonexistent,1
136,34,admin.,married,university.degree,no,no,yes,157,2,999,0,nonexistent,0
137,34,admin.,married,university.degree,no,no,no,141,2,999,0,nonexistent,0
138,37,technician,divorced,professional.course,no,no,no,374,1,999,0,nonexistent,0
139,53,blue-collar,divorced,basic.4y,no,no,no,706,1,999,0,nonexistent,1
140,54,technician,divorced,professional.course,no,yes,yes,797,14,999,0,nonexistent,0
141,32,technician,divorced,professional.course,no,yes,no,250,1,999,0,nonexistent,0
142,42,admin.,married,high.school,no,yes,no,311,6,999,0,nonexistent,0
143,28,technician,single,professional.course,no,yes,no,63,2,3,1,success,1
144,33,services,single,high.school,no,yes,no,111,1,999,0,nonexistent,0
145,41,blue-collar,married,basic.9y,no,yes,no,148,2,999,0,nonexistent,0
146,31,services,married,high.school,no,no,yes,49,1,999,0,nonexistent,0
147,40,technician,married,basic.9y,unknown,no,yes,171,4,999,0,nonexistent,0
148,53,unknown,married,basic.9y,no,no,yes,242,1,999,1,failure,0
149,40,admin.,divorced,university.degree,no,yes,no,257,1,999,0,nonexistent,0
150,82,housemaid,married,basic.4y,no,no,no,279,3,3,2,success,1
151,28,blue-collar,married,basic.4y,no,yes,no,113,1,999,0,nonexistent,0
152,30,admin.,married,high.school,unknown,yes,no,246,3,999,0,nonexistent,0
153,31,unemployed,single,university.degree,no,yes,no,309,1,6,3,success,1
154,32,technician,single,university.degree,no,yes,no,168,1,999,0,nonexistent,0
155,54,blue-collar,married,basic.4y,no,yes,no,153,1,999,0,nonexistent,0
156,31,blue-collar,married,basic.9y,no,no,no,152,1,999,0,nonexistent,0
157,50,services,married,unknown,no,yes,no,90,2,999,0,nonexistent,0
158,47,technician,single,unknown,no,no,no,117,2,999,0,nonexistent,0
159,31,admin.,single,high.school,no,yes,yes,149,1,999,0,nonexistent,0
160,32,unemployed,married,high.school,no,yes,no,640,1,999,0,nonexistent,0
161,46,admin.,single,high.school,no,yes,no,199,2,999,2,failure,0
162,47,admin.,single,high.school,no,no,no,1114,2,999,0,nonexistent,0
163,32,admin.,single,high.school,no,no,no,74,2,999,2,failure,0
164,52,services,divorced,high.school,unknown,no,no,190,1,999,0,nonexistent,0
165,45,admin.,married,high.school,no,yes,no,738,3,6,1,success,1
166,32,admin.,married,university.degree,no,yes,no,374,2,999,0,nonexistent,0
167,71,blue-collar,divorced,basic.4y,unknown,no,no,224,1,999,0,nonexistent,0
168,49,services,married,high.school,no,yes,no,344,2,999,0,nonexistent,0
169,46,admin.,married,high.school,no,yes,yes,148,10,999,0,nonexistent,0
170,46,blue-collar,married,professional.course,no,no,no,383,1,999,0,nonexistent,0
171,38,admin.,married,university.degree,no,yes,no,35,6,999,0,nonexistent,0
172,57,services,married,professional.course,unknown,no,no,153,2,999,0,nonexistent,0
173,41,services,single,high.school,unknown,unknown,unknown,772,2,999,1,failure,0
174,44,technician,married,professional.course,no,no,no,124,3,999,0,nonexistent,0
175,47,technician,married,university.degree,no,yes,no,345,7,999,0,nonexistent,0
176,40,blue-collar,married,basic.9y,no,yes,yes,951,2,999,0,nonexistent,0
177,57,retired,single,professional.course,no,yes,no,188,1,999,0,nonexistent,0
178,27,admin.,single,unknown,no,no,no,128,1,3,1,success,1
179,52,blue-collar,married,basic.9y,no,no,no,809,1,999,0,nonexistent,1
180,34,management,married,university.degree,no,yes,yes,192,1,999,0,nonexistent,0
181,42,entrepreneur,married,university.degree,no,yes,no,154,1,999,0,nonexistent,0
182,51,technician,married,unknown,no,yes,no,17,3,999,0,nonexistent,0
183,45,management,married,basic.4y,unknown,yes,no,100,1,999,0,nonexistent,0
184,56,retired,married,high.school,no,no,no,317,1,999,0,nonexistent,0
185,41,management,married,university.degree,no,yes,no,93,1,999,0,nonexistent,0
186,44,admin.,married,high.school,no,yes,no,111,1,999,0,nonexistent,0
187,50,blue-collar,married,basic.6y,no,yes,no,293,3,3,1,success,1
188,54,self-employed,married,high.school,no,no,no,119,3,999,0,nonexistent,0
189,51,blue-collar,married,basic.6y,no,no,no,393,1,999,0,nonexistent,0
190,30,blue-collar,single,basic.9y,no,no,no,30,1,999,0,nonexistent,0
191,42,housemaid,married,basic.4y,unknown,yes,no,38,8,999,0,nonexistent,0
192,41,technician,married,professional.course,unknown,yes,no,442,11,999,0,nonexistent,0
193,47,services,single,basic.9y,no,no,no,187,2,999,0,nonexistent,0
194,35,blue-collar,married,basic.6y,no,yes,no,113,1,999,1,failure,0
195,58,blue-collar,married,basic.9y,no,no,no,64,1,999,1,failure,0
196,50,blue-collar,divorced,high.school,no,yes,yes,629,2,999,0,nonexistent,1
197,41,technician,married,professional.course,no,no,no,92,1,999,0,nonexistent,0
198,38,technician,married,university.degree,no,yes,no,147,1,999,0,nonexistent,0
199,32,student,single,university.degree,no,no,no,151,2,999,0,nonexistent,0
200,21,student,single,high.school,no,no,no,259,1,999,1,failure,0
201,46,admin.,divorced,basic.9y,unknown,no,no,423,1,999,0,nonexistent,0
202,42,self-employed,married,university.degree,no,yes,no,888,3,999,0,nonexistent,0
203,55,services,married,basic.9y,no,no,no,76,13,999,0,nonexistent,0
204,29,admin.,single,high.school,no,yes,no,207,1,6,1,success,0
205,30,blue-collar,single,basic.6y,unknown,yes,no,100,1,999,0,nonexistent,0
206,53,management,married,basic.4y,no,yes,no,63,1,999,0,nonexistent,0
207,35,management,married,university.degree,no,yes,no,265,2,999,0,nonexistent,0
208,46,services,married,professional.course,no,yes,no,273,4,999,0,nonexistent,0
209,30,blue-collar,married,unknown,no,no,no,85,2,999,0,nonexistent,0
210,43,entrepreneur,married,university.degree,unknown,yes,no,261,1,999,0,nonexistent,0
211,42,services,married,high.school,unknown,yes,no,136,4,999,0,nonexistent,0
212,32,technician,married,professional.course,no,no,no,711,1,999,0,nonexistent,0
213,41,blue-collar,divorced,basic.9y,no,yes,no,88,1,999,1,failure,0
214,28,admin.,married,university.degree,no,no,no,72,3,999,1,failure,0
215,24,services,single,university.degree,no,no,no,113,6,999,0,nonexistent,0
216,43,management,married,university.degree,unknown,yes,yes,307,1,999,0,nonexistent,0
217,30,admin.,single,university.degree,no,yes,no,39,1,999,0,nonexistent,0
218,55,blue-collar,married,basic.9y,unknown,no,no,63,2,999,0,nonexistent,0
219,51,retired,married,basic.9y,unknown,no,no,64,1,999,0,nonexistent,0
220,22,student,single,high.school,no,no,yes,154,2,999,0,nonexistent,0
221,32,entrepreneur,single,university.degree,no,no,yes,126,1,999,0,nonexistent,0
222,43,admin.,married,professional.course,unknown,no,no,127,3,999,0,nonexistent,0
223,39,management,married,basic.6y,unknown,no,no,156,5,999,0,nonexistent,0
224,52,blue-collar,divorced,unknown,no,no,no,111,8,999,0,nonexistent,0
225,38,technician,single,professional.course,no,yes,no,202,3,999,1,failure,0
226,59,retired,married,basic.4y,no,no,no,353,4,999,0,nonexistent,0
227,31,blue-collar,married,basic.4y,no,yes,no,159,2,999,0,nonexistent,0
228,76,retired,single,basic.4y,no,no,no,347,4,6,1,success,1
229,44,unknown,single,basic.9y,unknown,yes,no,76,3,999,0,nonexistent,0
230,30,blue-collar,married,unknown,no,no,no,85,2,999,0,nonexistent,0
231,32,services,married,high.school,unknown,no,no,174,1,999,0,nonexistent,0
232,41,unemployed,married,unknown,no,no,no,280,3,999,0,nonexistent,0
233,33,admin.,single,university.degree,no,yes,no,686,4,999,0,nonexistent,1
234,59,retired,married,basic.4y,no,yes,no,94,1,999,0,nonexistent,0
235,28,blue-collar,married,basic.9y,no,yes,no,225,3,999,0,nonexistent,0
236,33,blue-collar,single,basic.6y,no,yes,no,474,2,999,0,nonexistent,0
237,53,services,married,high.school,unknown,yes,no,76,1,999,0,nonexistent,0
238,41,services,married,high.school,no,no,no,377,6,999,0,nonexistent,1
239,55,unknown,married,basic.4y,no,no,yes,185,1,999,0,nonexistent,0
240,45,blue-collar,married,basic.9y,unknown,no,no,121,1,999,0,nonexistent,0
241,35,technician,married,professional.course,no,no,no,126,4,999,0,nonexistent,0
242,31,services,married,high.school,unknown,no,no,160,3,999,0,nonexistent,0
243,53,management,married,university.degree,no,no,no,313,4,999,0,nonexistent,0
244,35,technician,single,professional.course,no,yes,no,141,1,999,0,nonexistent,0
245,45,blue-collar,divorced,basic.6y,unknown,yes,no,219,1,999,0,nonexistent,0
246,34,housemaid,single,university.degree,no,no,no,267,2,999,0,nonexistent,0
247,42,admin.,married,basic.9y,no,no,no,406,3,999,1,failure,0
248,36,self-employed,married,basic.9y,no,yes,yes,151,3,999,0,nonexistent,0
249,44,admin.,married,high.school,no,no,no,228,3,999,0,nonexistent,0
250,50,admin.,divorced,university.degree,no,yes,no,73,2,999,0,nonexistent,0
251,36,admin.,married,university.degree,no,yes,no,355,1,999,0,nonexistent,0
252,27,technician,married,professional.course,no,no,no,102,9,999,0,nonexistent,0
253,40,management,married,unknown,no,no,no,97,3,999,0,nonexistent,0
254,25,technician,single,university.degree,no,yes,yes,35,6,999,0,nonexistent,0
255,29,management,married,university.degree,no,yes,yes,116,2,999,0,nonexistent,0
256,44,admin.,married,high.school,no,no,no,83,3,999,0,nonexistent,0
257,57,blue-collar,married,unknown,unknown,yes,no,473,2,999,0,nonexistent,0
258,30,admin.,single,high.school,no,yes,no,605,1,999,0,nonexistent,0
259,37,self-employed,married,university.degree,no,yes,yes,585,2,999,0,nonexistent,0
260,57,technician,married,basic.9y,no,no,no,94,1,999,0,nonexistent,0
261,32,technician,married,professional.course,no,yes,no,255,1,999,0,nonexistent,1
262,54,admin.,married,professional.course,no,no,no,1868,2,10,1,success,1
263,58,blue-collar,married,basic.9y,no,yes,no,846,1,999,0,nonexistent,1
264,29,admin.,single,university.degree,unknown,yes,no,158,5,999,0,nonexistent,0
265,60,services,married,high.school,unknown,no,no,73,1,999,0,nonexistent,0
266,27,unemployed,single,university.degree,no,no,no,404,2,999,0,nonexistent,0
267,30,unemployed,married,high.school,no,yes,no,383,3,999,0,nonexistent,0
268,42,blue-collar,married,basic.4y,no,no,no,51,1,999,0,nonexistent,0
269,48,housemaid,married,high.school,no,no,no,87,1,999,0,nonexistent,0
270,35,admin.,single,university.degree,no,no,no,167,2,999,0,nonexistent,0
271,46,blue-collar,married,basic.6y,unknown,yes,yes,440,1,999,0,nonexistent,0
272,57,retired,unknown,basic.4y,no,no,no,673,1,999,0,nonexistent,0
273,30,services,married,high.school,no,no,no,151,3,999,0,nonexistent,0
274,28,technician,single,high.school,no,yes,yes,48,4,999,1,failure,0
275,34,services,married,high.school,unknown,yes,no,309,1,999,0,nonexistent,0
276,42,blue-collar,married,basic.4y,unknown,no,no,236,1,999,0,nonexistent,0
277,30,admin.,single,university.degree,no,yes,no,288,1,999,0,nonexistent,0
278,27,student,single,basic.9y,no,yes,no,111,1,999,0,nonexistent,0
279,23,entrepreneur,married,university.degree,no,yes,no,87,1,999,0,nonexistent,0
280,43,blue-collar,married,basic.4y,unknown,yes,no,193,1,999,0,nonexistent,0
281,59,management,married,basic.4y,unknown,yes,yes,318,1,999,0,nonexistent,0
282,31,self-employed,single,university.degree,no,no,no,209,1,999,2,failure,0
283,43,self-employed,married,basic.9y,no,no,no,173,2,999,0,nonexistent,0
284,52,technician,married,high.school,no,yes,no,503,2,999,0,nonexistent,0
285,26,housemaid,single,high.school,unknown,yes,yes,127,1,999,0,nonexistent,0
286,24,blue-collar,married,basic.9y,no,yes,yes,101,6,999,0,nonexistent,0
287,35,blue-collar,single,basic.6y,no,no,no,370,1,999,1,failure,0
288,59,technician,married,professional.course,no,no,no,1207,4,999,1,failure,1
289,28,blue-collar,married,basic.6y,unknown,no,no,262,1,999,0,nonexistent,0
290,37,blue-collar,single,basic.9y,no,no,no,211,2,999,0,nonexistent,0
291,46,admin.,married,professional.course,no,no,no,609,1,999,1,failure,0
292,26,technician,single,university.degree,no,yes,no,806,3,6,2,success,1
293,40,management,married,university.degree,no,yes,no,77,6,999,0,nonexistent,0
294,56,blue-collar,married,basic.4y,unknown,yes,no,335,2,999,0,nonexistent,0
295,40,management,married,university.degree,no,yes,no,459,1,999,0,nonexistent,0
296,29,admin.,single,university.degree,no,yes,yes,266,2,999,0,nonexistent,0
297,28,blue-collar,single,basic.9y,no,yes,no,225,1,999,1,failure,0
298,48,technician,single,unknown,unknown,no,no,257,7,999,0,nonexistent,0
299,28,unemployed,single,university.degree,no,yes,no,434,1,999,0,nonexistent,0
300,33,technician,married,professional.course,no,no,no,191,4,999,0,nonexistent,0
301,56,entrepreneur,married,university.degree,no,yes,yes,82,1,999,0,nonexistent,0
302,57,retired,married,basic.9y,no,no,no,388,4,999,0,nonexistent,1
303,24,admin.,single,high.school,unknown,yes,no,15,1,999,0,nonexistent,0
304,39,self-employed,married,university.degree,no,no,no,17,2,999,0,nonexistent,0
305,40,blue-collar,married,unknown,no,yes,yes,155,1,999,0,nonexistent,0
306,54,blue-collar,divorced,unknown,unknown,yes,no,339,3,999,0,nonexistent,0
307,25,admin.,single,university.degree,no,no,no,188,2,999,0,nonexistent,0
308,36,blue-collar,married,basic.9y,unknown,no,no,951,3,999,1,failure,1
309,48,admin.,married,university.degree,no,yes,no,288,1,999,0,nonexistent,0
310,32,admin.,single,university.degree,no,yes,no,206,1,999,0,nonexistent,0
311,48,admin.,married,university.degree,no,yes,yes,154,2,999,0,nonexistent,0
312,30,technician,married,university.degree,unknown,yes,no,72,3,999,0,nonexistent,0
313,41,admin.,divorced,high.school,no,no,no,293,2,999,0,nonexistent,0
314,54,retired,divorced,basic.4y,unknown,yes,no,141,1,999,0,nonexistent,0
315,29,admin.,single,university.degree,no,yes,no,215,1,999,0,nonexistent,1
316,28,blue-collar,single,high.school,no,yes,no,102,2,999,0,nonexistent,0
317,30,admin.,married,university.degree,no,no,no,178,2,999,0,nonexistent,0
318,54,admin.,married,university.degree,no,yes,no,461,3,999,0,nonexistent,0
319,33,entrepreneur,married,basic.9y,unknown,no,no,82,1,999,0,nonexistent,0
320,38,blue-collar,married,basic.9y,no,no,no,204,1,11,1,success,0
321,46,housemaid,divorced,basic.6y,no,yes,no,143,8,999,0,nonexistent,0
322,38,admin.,divorced,university.degree,no,no,no,50,3,999,0,nonexistent,0
323,38,services,married,high.school,no,no,no,81,1,999,0,nonexistent,0
324,33,blue-collar,married,high.school,no,yes,no,233,1,999,0,nonexistent,0
325,25,admin.,married,university.degree,no,no,no,56,1,999,0,nonexistent,0
326,29,admin.,single,university.degree,unknown,yes,no,104,10,999,0,nonexistent,0
327,60,technician,married,professional.course,unknown,no,no,55,15,999,0,nonexistent,0
328,57,services,married,high.school,no,yes,no,126,2,999,0,nonexistent,0
329,36,admin.,single,university.degree,no,no,no,142,1,999,0,nonexistent,0
330,54,admin.,married,university.degree,no,no,no,9,5,999,0,nonexistent,0
331,25,self-employed,single,university.degree,no,no,no,247,3,999,0,nonexistent,0
332,41,entrepreneur,married,university.degree,no,no,no,130,4,999,0,nonexistent,0
333,54,management,married,university.degree,no,yes,no,336,1,999,0,nonexistent,0
334,39,blue-collar,divorced,basic.6y,unknown,no,no,101,1,999,0,nonexistent,0
335,55,entrepreneur,divorced,university.degree,unknown,no,no,56,1,999,1,failure,0
336,40,admin.,married,high.school,no,no,no,160,3,999,0,nonexistent,0
337,43,unemployed,married,university.degree,unknown,yes,no,424,1,999,0,nonexistent,0
338,81,retired,married,basic.4y,no,no,no,617,2,999,0,nonexistent,1
339,43,technician,divorced,professional.course,no,yes,no,143,1,999,0,nonexistent,0
340,34,admin.,married,high.school,no,yes,no,238,1,6,2,success,1
341,42,technician,married,high.school,no,yes,no,188,1,999,0,nonexistent,0
342,30,services,married,basic.6y,no,no,no,154,2,999,0,nonexistent,0
343,24,services,single,basic.9y,unknown,no,yes,222,2,999,0,nonexistent,0
344,51,unknown,married,unknown,unknown,yes,no,10,5,999,0,nonexistent,0
345,42,blue-collar,married,basic.9y,no,no,no,632,5,10,1,success,0
346,51,self-employed,married,basic.4y,unknown,no,yes,91,7,999,0,nonexistent,0
347,38,blue-collar,married,high.school,unknown,no,no,90,3,999,0,nonexistent,0
348,45,blue-collar,married,basic.4y,unknown,yes,yes,187,1,999,0,nonexistent,0
349,51,admin.,divorced,university.degree,unknown,no,no,86,1,999,0,nonexistent,0
350,44,admin.,married,university.degree,unknown,no,no,165,6,999,0,nonexistent,0
351,52,technician,married,basic.9y,no,yes,no,102,1,999,0,nonexistent,0
352,49,admin.,married,university.degree,no,yes,no,212,1,999,0,nonexistent,0
353,49,technician,married,professional.course,no,yes,no,57,1,999,0,nonexistent,0
354,52,unknown,married,basic.6y,no,no,no,54,4,999,0,nonexistent,0
355,32,entrepreneur,married,university.degree,no,no,no,73,4,999,0,nonexistent,0
356,27,services,married,high.school,no,no,no,184,3,999,0,nonexistent,0
357,44,admin.,divorced,high.school,no,yes,no,173,8,999,1,failure,0
358,33,admin.,single,university.degree,no,no,no,6,7,999,0,nonexistent,0
359,30,services,married,basic.9y,no,no,no,70,2,999,0,nonexistent,0
360,32,admin.,single,university.degree,no,yes,no,96,1,999,0,nonexistent,0
361,36,blue-collar,married,professional.course,unknown,yes,yes,102,3,999,0,nonexistent,0
362,49,unemployed,married,high.school,no,yes,no,98,1,999,0,nonexistent,0
363,48,services,single,basic.4y,unknown,yes,yes,106,2,999,0,nonexistent,0
364,48,technician,married,professional.course,no,yes,no,336,8,999,0,nonexistent,1
365,42,blue-collar,married,basic.4y,no,no,no,456,2,999,0,nonexistent,0
